latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
43.26452,-82.04836,744,632,0.0,0.0,0
59.06177,-117.08854,1200,2034,367.0,116.36,1
44.79012,-80.43568,183,1815,0.0,0.0,0
51.09082,-87.65941,1217,1831,0.0,0.0,0
51.66253,-108.30251,1200,1043,0.0,0.0,0
61.94951,-111.7696,1948,1016,0.0,0.0,0
51.6616,-96.92094,61,1945,0.0,0.0,0
50.29585,-104.30316,1505,2011,0.0,0.0,0
53.44485,-106.85963,426,913,297.52,0.77,1
49.35095,-102.73159,1887,741,300.73,1.03,1
48.15747,-53.46524,1962,1540,0.0,0.0,0
53.224,-112.71466,730,914,0.0,0.0,0
46.72308,-83.72777,2040,815,0.0,0.0,0
60.60748,-135.03821,2040,2127,328.54,4.74,1
49.08317,-121.16483,1979,2207,367.0,104.31,1
51.20137,-106.39246,395,2023,340.76,5.94,1
53.59551,-107.99883,593,1024,0.0,0.0,0
42.98232,-79.82987,579,626,0.0,0.0,0
54.59412,-126.0543,548,1107,345.67,5.63,1
67.62329,-129.94999,0,721,0.0,0.0,0
49.00889,-96.22195,426,913,308.71,1.73,1
55.72678,-126.17612,214,2019,0.0,0.0,0
44.41818,-76.45575,760,811,0.0,0.0,0
49.02795,-103.64546,532,747,305.12,1.08,1
46.04437,-73.13922,91,1840,327.47,3.82,1
66.94377,-125.44864,1931,1702,0.0,0.0,0
52.64802,-107.618,136,1940,0.0,0.0,0
49.28981,-118.62436,122,1055,0.0,0.0,0
56.2542,-108.13239,821,2037,337.97,5.27,1
50.13063,-96.90296,805,726,295.4,0.61,1
57.00513,-111.48071,136,950,320.53,1.37,1
45.25644,-66.87935,1109,1714,338.76,7.65,1
82.7354,-75.84271,1200,1043,0.0,0.0,0
48.74278,-123.70462,821,1049,0.0,0.0,0
52.71444,-76.60579,1170,1632,0.0,0.0,0
62.57845,-105.05173,791,826,335.65,0.17,1
64.28348,-90.235,228,1106,0.0,0.0,0
55.21027,-126.04564,1583,2051,336.72,3.6,1
46.84879,-84.53683,365,817,0.0,0.0,0
46.90798,-84.15291,958,759,0.0,0.0,0
52.95493,-74.25243,805,1714,328.44,4.81,1
50.40943,-112.83644,774,849,0.0,0.0,0
53.84768,-113.11581,30,938,309.32,0.86,1
56.95728,-110.39557,1840,2030,0.0,0.0,0
51.32228,-102.59829,14,1926,328.35,29.83,1
62.7795,-118.68272,1552,2033,0.0,0.0,0
63.23011,-97.65015,1248,2031,0.0,0.0,0
47.0287,-75.42458,760,951,0.0,0.0,0
50.84661,-77.65839,1231,1908,0.0,0.0,0
49.27398,-118.93469,1217,844,0.0,0.0,0
50.09018,-110.71732,866,1005,331.89,3.8,1
46.75571,-71.20099,379,1659,336.79,2.93,1
49.58163,-123.10426,883,947,0.0,0.0,0
49.33555,-126.14697,958,2108,0.0,0.0,0
52.31039,-111.95883,183,1959,0.0,0.0,0
53.73672,-66.95562,1552,1528,0.0,0.0,0
43.96664,-76.57908,2023,654,0.0,0.0,0
75.3177,-116.9396,927,1103,0.0,0.0,0
54.51624,-123.53717,1262,939,367.0,43.37,1
50.49647,-100.10555,1139,1934,342.06,8.89,1
51.84416,-90.47546,470,1836,367.0,84.91,1
44.29869,-64.74881,1962,1720,0.0,0.0,0
51.62751,-92.60435,1887,1102,0.0,0.0,0
50.6679,-102.23082,532,1915,0.0,0.0,0
72.3547,-85.78624,1597,1803,0.0,0.0,0
66.40577,-124.10356,379,2023,0.0,0.0,0
53.8603,-118.51878,1993,2105,0.0,0.0,0
52.75362,-104.92099,805,907,0.0,0.0,0
64.56535,-140.3371,1231,2235,354.46,19.32,1
65.46877,-126.69724,1170,2139,334.0,4.16,1
54.90713,-111.32699,122,913,0.0,0.0,0
49.73812,-114.79507,518,1030,299.61,1.18,1
46.10848,-72.6472,730,553,0.0,0.0,0
54.7096,-117.06248,1826,1004,0.0,0.0,0
53.42047,-125.46233,1248,902,367.0,18.89,1
51.59535,-113.33549,1887,922,0.0,0.0,0
51.75135,-98.42908,1170,1813,339.7,3.83,1
57.62586,-111.59511,1491,944,0.0,0.0,0
73.57533,-80.78934,1109,1714,0.0,0.0,0
50.12879,-96.90278,1292,836,309.97,1.11,1
50.54068,-96.25349,532,927,0.0,0.0,0
66.15767,-112.02032,1461,1048,0.0,0.0,0
61.07647,-126.41091,1583,1059,300.22,0.9,1
44.16818,-76.80211,105,612,302.91,1.03,1
52.11732,-114.62398,1292,2006,329.24,2.4,1
60.81975,-115.75895,1139,1938,367.0,65.92,1
53.58842,-118.68972,791,1009,0.0,0.0,0
51.79403,-107.73708,1675,1843,330.65,4.79,1
58.72625,-127.92745,2023,1153,310.38,1.61,1
43.7183,-79.83516,1552,1846,0.0,0.0,0
51.13451,-103.91906,1505,2011,340.89,7.0,1
59.92514,-118.17927,1628,2148,0.0,0.0,0
50.32305,-123.58679,1993,2104,330.16,2.54,1
52.20027,-114.10047,579,1935,0.0,0.0,0
55.86782,-119.31244,730,913,297.22,0.28,1
56.62318,-117.33258,927,2051,326.93,3.98,1
