latitude,longitude,acq_date,acq_time,bright_ti4,frp,is_fire
57.80675,-113.3878,2021-07-01,1941,367.0,43.56,1
51.62614,-98.59097,2024-09-01,1927,0.0,0.0,0
52.86208,-107.13031,2023-04-15,2039,339.71,17.55,1
64.43227,-112.92063,2020-10-01,1815,0.0,0.0,0
56.55601,-119.53407,2020-11-15,1105,331.61,5.73,1
62.10317,-112.6038,2023-08-01,1829,0.0,0.0,0
59.43396,-112.99245,2023-10-15,834,367.0,32.4,1
60.08952,-111.08238,2020-07-01,852,297.62,1.78,1
46.12848,-72.58225,2022-08-15,1629,0.0,0.0,0
55.45296,-113.75,2024-04-01,1047,295.54,0.91,1
54.37023,-109.76031,2025-11-15,2022,338.05,58.46,1
64.12549,-136.71217,2022-07-01,2041,0.0,0.0,0
49.96771,-104.91631,2021-10-15,1952,0.0,0.0,0
44.1615,-65.73607,2023-06-01,1732,0.0,0.0,0
46.71735,-71.80564,2020-11-15,605,0.0,0.0,0
79.78519,-86.4616,2020-10-15,1712,0.0,0.0,0
55.8403,-118.62294,2020-05-01,1928,339.89,8.49,1
45.8398,-73.2496,2022-04-01,553,295.48,0.98,1
42.53995,-79.92748,2024-04-01,1853,0.0,0.0,0
49.35227,-102.7257,2024-04-01,908,300.84,0.73,1
49.58694,-99.30682,2021-10-15,1952,331.72,4.78,1
54.0727,-112.03207,2020-11-01,2018,351.89,8.99,1
45.8816,-80.23043,2020-10-01,1815,0.0,0.0,0
61.19883,-135.38127,2025-11-01,1948,0.0,0.0,0
54.12433,-113.7969,2021-09-15,1916,0.0,0.0,0
60.60169,-95.11977,2021-07-15,1836,0.0,0.0,0
50.67694,-97.35504,2020-09-01,752,0.0,0.0,0
54.15532,-108.28713,2022-05-01,810,309.71,2.01,1
65.46086,-126.01224,2023-06-15,2139,0.0,0.0,0
52.40307,-113.24097,2024-09-15,2005,344.58,10.6,1
52.34199,-107.25403,2025-10-15,1013,0.0,0.0,0
50.70902,-99.85279,2024-09-15,1824,0.0,0.0,0
42.312,-82.05017,2025-10-01,757,312.16,1.24,1
45.36645,-61.60484,2020-10-01,1815,0.0,0.0,0
45.77152,-66.30161,2020-11-01,708,0.0,0.0,0
54.13275,-118.01779,2025-07-15,2027,0.0,0.0,0
60.70591,-105.92209,2022-04-01,914,0.0,0.0,0
46.51517,-84.39268,2020-06-01,817,318.33,2.5,1
58.13341,-116.67862,2025-05-01,1707,0.0,0.0,0
57.73696,-124.74883,2023-06-15,2136,0.0,0.0,0
49.87291,-99.54504,2021-04-01,1944,338.31,66.38,1
55.686,-124.96459,2022-11-15,2110,0.0,0.0,0
50.12989,-96.89931,2021-09-15,927,295.94,1.17,1
52.16048,-113.99703,2022-06-01,1010,0.0,0.0,0
64.90165,-125.43704,2023-09-15,2113,367.0,46.01,1
65.62195,-123.87681,2025-09-01,1850,358.01,18.01,1
56.04562,-123.96867,2021-11-15,1024,0.0,0.0,0
53.82109,-113.54239,2020-11-15,1106,0.0,0.0,0
51.20045,-99.85657,2024-04-15,945,0.0,0.0,0
63.02858,-92.19833,2023-05-15,1938,338.86,11.23,1
55.23648,-117.19632,2022-04-01,1904,340.45,5.46,1
50.72222,-104.66319,2020-07-01,2023,330.71,3.5,1
55.02971,-120.51287,2022-09-01,2116,367.0,347.48,1
54.39232,-118.90396,2022-04-01,1054,0.0,0.0,0
54.83579,-113.15177,2022-11-15,2110,0.0,0.0,0
54.93347,-103.92078,2025-06-01,739,0.0,0.0,0
52.31705,-106.77266,2023-04-15,2039,0.0,0.0,0
51.34773,-87.78593,2023-06-15,1812,0.0,0.0,0
49.46892,-120.55186,2022-10-15,922,0.0,0.0,0
46.75553,-83.56264,2020-07-01,714,0.0,0.0,0
53.59524,-94.5042,2021-08-01,829,0.0,0.0,0
54.93018,-128.88283,2025-04-01,2135,328.26,2.68,1
52.7655,-126.79533,2024-07-01,1849,0.0,0.0,0
56.59516,-73.58251,2021-04-15,2023,0.0,0.0,0
72.09795,-95.34887,2024-11-15,1919,0.0,0.0,0
42.31082,-82.05103,2024-10-15,734,304.16,0.91,1
49.51966,-121.13572,2021-05-15,2100,0.0,0.0,0
49.14011,-102.37921,2024-10-15,1900,326.63,1.73,1
59.76904,-123.18468,2023-10-15,1017,0.0,0.0,0
43.26452,-82.04836,2022-04-15,632,0.0,0.0,0
59.06177,-117.08854,2023-07-15,2034,367.0,116.36,1
44.79012,-80.43568,2020-10-01,1815,0.0,0.0,0
51.09082,-87.65941,2023-08-01,1831,0.0,0.0,0
51.66253,-108.30251,2023-07-15,1043,0.0,0.0,0
61.94951,-111.7696,2025-08-01,1016,0.0,0.0,0
51.6616,-96.92094,2020-06-01,1945,0.0,0.0,0
50.29585,-104.30316,2024-05-15,2011,0.0,0.0,0
53.44485,-106.85963,2021-06-01,913,297.52,0.77,1
49.35095,-102.73159,2025-06-01,741,300.73,1.03,1
48.15747,-53.46524,2025-08-15,1540,0.0,0.0,0
53.224,-112.71466,2022-04-01,914,0.0,0.0,0
46.72308,-83.72777,2025-11-01,815,0.0,0.0,0
60.60748,-135.03821,2025-11-01,2127,328.54,4.74,1
49.08317,-121.16483,2025-09-01,2207,367.0,104.31,1
51.20137,-106.39246,2021-05-01,2023,340.76,5.94,1
53.59551,-107.99883,2021-11-15,1024,0.0,0.0,0
42.98232,-79.82987,2021-11-01,626,0.0,0.0,0
54.59412,-126.0543,2021-10-01,1107,345.67,5.63,1
67.62329,-129.94999,2020-04-01,721,0.0,0.0,0
49.00889,-96.22195,2021-06-01,913,308.71,1.73,1
55.72678,-126.17612,2020-11-01,2019,0.0,0.0,0
44.41818,-76.45575,2022-05-01,811,0.0,0.0,0
49.02795,-103.64546,2021-09-15,747,305.12,1.08,1
46.04437,-73.13922,2020-07-01,1840,327.47,3.82,1
